ec,contest,sido,gusigun,emd,gubun,candidates,votes,top1,top2,total
3,전라남도,전라남도,화순군,사평면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,257|42|26|14|9,257,42,348
3,전라남도,전라남도,화순군,동면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,683|65|52|36|18,683,65,854
3,전라남도,전라남도,화순군,동면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,369|80|33|19|17,369,80,518
3,전라남도,전라남도,장흥군,장흥읍,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,3601|340|200|104|67,3601,340,4312
3,전라남도,전라남도,장흥군,장흥읍,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,2276|366|200|89|60,2276,366,2991
3,전라남도,전라남도,장흥군,관산읍,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,1279|95|75|49|26,1279,95,1524
3,전라남도,전라남도,장흥군,관산읍,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,732|75|55|22|26,732,75,910
3,전라남도,전라남도,장흥군,대덕읍,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,784|64|35|20|19,784,64,922
3,전라남도,전라남도,장흥군,대덕읍,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,596|86|22|19|18,596,86,741
3,전라남도,전라남도,장흥군,용산면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,647|54|52|29|8,647,54,790
3,전라남도,전라남도,장흥군,용산면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,254|49|25|8|8,254,49,344
3,전라남도,전라남도,장흥군,안양면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,741|41|30|31|7,741,41,850
3,전라남도,전라남도,장흥군,안양면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,433|71|24|20|11,433,71,559
3,전라남도,전라남도,장흥군,장동면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,294|44|17|9|7,294,44,371
3,전라남도,전라남도,장흥군,장동면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,157|51|13|3|10,157,51,234
3,전라남도,전라남도,장흥군,장평면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,576|44|48|23|11,576,48,702
3,전라남도,전라남도,장흥군,장평면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,325|34|21|10|15,325,34,405
3,전라남도,전라남도,장흥군,유치면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,247|28|19|14|8,247,28,316
3,전라남도,전라남도,장흥군,유치면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,111|24|9|7|1,111,24,152
3,전라남도,전라남도,장흥군,부산면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,368|27|45|13|8,368,45,461
3,전라남도,전라남도,장흥군,부산면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,149|27|22|6|7,149,27,211
3,전라남도,전라남도,장흥군,회진면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,904|64|33|18|15,904,64,1034
3,전라남도,전라남도,장흥군,회진면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,355|51|14|19|13,355,51,452
3,전라남도,전라남도,강진군,강진읍,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,3056|368|162|189|150,3056,368,3925
3,전라남도,전라남도,강진군,강진읍,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,1980|354|123|118|167,1980,354,2742
3,전라남도,전라남도,강진군,군동면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,863|101|59|51|66,863,101,1140
3,전라남도,전라남도,강진군,군동면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,658|135|47|45|81,658,135,966
3,전라남도,전라남도,강진군,칠량면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,588|80|37|32|24,588,80,761
3,전라남도,전라남도,강진군,칠량면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,308|49|18|36|33,308,49,444
3,전라남도,전라남도,강진군,대구면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,312|53|34|16|25,312,53,440
3,전라남도,전라남도,강진군,대구면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,128|16|14|8|13,128,16,179
3,전라남도,전라남도,강진군,마량면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,542|48|21|20|47,542,48,678
3,전라남도,전라남도,강진군,마량면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,238|41|12|3|34,238,41,328
3,전라남도,전라남도,강진군,도암면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,574|89|37|42|26,574,89,768
3,전라남도,전라남도,강진군,도암면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,371|52|26|26|26,371,52,501
3,전라남도,전라남도,강진군,신전면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,543|49|25|42|20,543,49,679
3,전라남도,전라남도,강진군,신전면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,256|37|22|18|17,256,37,350
